full name,star number,,git url
openharmony/device_soc_esp,8,,https://gitee.com/openharmony/device_soc_esp.git
openharmony/powermgr_display_manager,8,,https://gitee.com/openharmony/powermgr_display_manager.git
openharmony/prebuilts_aosp_libs,8,,https://gitee.com/openharmony/prebuilts_aosp_libs.git
openharmony/productdefine_common,8,,https://gitee.com/openharmony/productdefine_common.git
openharmony/telephony_ril_adapter,8,,https://gitee.com/openharmony/telephony_ril_adapter.git
openharmony/third_party_libcoap,8,,https://gitee.com/openharmony/third_party_libcoap.git
openharmony/third_party_sqlite,8,,https://gitee.com/openharmony/third_party_sqlite.git
openharmony/update_update_app,8,,https://gitee.com/openharmony/update_update_app.git
openharmony/xts_tools_full,8,,https://gitee.com/openharmony/xts_tools_full.git
openharmony/applications_contacts,7,,https://gitee.com/openharmony/applications_contacts.git
openharmony/device_hisilicon_hi3516dv300,7,,https://gitee.com/openharmony/device_hisilicon_hi3516dv300.git
openharmony/distributedhardware_distributed_hardware_fwk,7,,https://gitee.com/openharmony/distributedhardware_distributed_hardware_fwk.git
openharmony/filemanagement_storage_service,7,,https://gitee.com/openharmony/filemanagement_storage_service.git
openharmony/hiviewdfx_hiappevent,7,,https://gitee.com/openharmony/hiviewdfx_hiappevent.git
openharmony/multimedia_image_standard,7,,https://gitee.com/openharmony/multimedia_image_standard.git
openharmony/powermgr_battery_manager,7,,https://gitee.com/openharmony/powermgr_battery_manager.git
openharmony/resourceschedule_resource_schedule_service,7,,https://gitee.com/openharmony/resourceschedule_resource_schedule_service.git
openharmony/security_selinux,7,,https://gitee.com/openharmony/security_selinux.git
openharmony/startup_appspawn,7,,https://gitee.com/openharmony/startup_appspawn.git
openharmony/third_party_littlefs,7,,https://gitee.com/openharmony/third_party_littlefs.git
openharmony/update_packaging_tools,7,,https://gitee.com/openharmony/update_packaging_tools.git
openharmony/applications_notes,6,,https://gitee.com/openharmony/applications_notes.git
openharmony/communication_netstack,6,,https://gitee.com/openharmony/communication_netstack.git
openharmony/communication_nfc,6,,https://gitee.com/openharmony/communication_nfc.git
openharmony/device_board_fnlink,6,,https://gitee.com/openharmony/device_board_fnlink.git
openharmony/device_board_unionman,6,,https://gitee.com/openharmony/device_board_unionman.git
openharmony/distributedhardware_distributed_camera,6,,https://gitee.com/openharmony/distributedhardware_distributed_camera.git
openharmony/filemanagement_dfs_service,6,,https://gitee.com/openharmony/filemanagement_dfs_service.git
openharmony/js_worker_module,6,,https://gitee.com/openharmony/js_worker_module.git
openharmony/resourceschedule_memmgr,6,,https://gitee.com/openharmony/resourceschedule_memmgr.git
openharmony/third_party_gn,6,,https://gitee.com/openharmony/third_party_gn.git
openharmony/third_party_libdrm,6,,https://gitee.com/openharmony/third_party_libdrm.git
openharmony/third_party_libunwind,6,,https://gitee.com/openharmony/third_party_libunwind.git
openharmony/third_party_node,6,,https://gitee.com/openharmony/third_party_node.git
openharmony/third_party_python,6,,https://gitee.com/openharmony/third_party_python.git
openharmony/third_party_wayland-ivi-extension,6,,https://gitee.com/openharmony/third_party_wayland-ivi-extension.git
openharmony/third_party_wayland-protocols_standard,6,,https://gitee.com/openharmony/third_party_wayland-protocols_standard.git
openharmony/third_party_weex-loader,6,,https://gitee.com/openharmony/third_party_weex-loader.git
openharmony/update_updateservice,6,,https://gitee.com/openharmony/update_updateservice.git
openharmony/vendor_ohemu,6,,https://gitee.com/openharmony/vendor_ohemu.git
openharmony/applications_call,5,,https://gitee.com/openharmony/applications_call.git
openharmony/communication_netmanager_base,5,,https://gitee.com/openharmony/communication_netmanager_base.git
openharmony/developtools_hdc_standard,5,,https://gitee.com/openharmony/developtools_hdc_standard.git
openharmony/device_board_openvalley,5,,https://gitee.com/openharmony/device_board_openvalley.git
openharmony/device_soc_rockchip,5,,https://gitee.com/openharmony/device_soc_rockchip.git
openharmony/device_soc_winnermicro,5,,https://gitee.com/openharmony/device_soc_winnermicro.git
openharmony/filemanagement_user_file_service,5,,https://gitee.com/openharmony/filemanagement_user_file_service.git
openharmony/js_sys_module,5,,https://gitee.com/openharmony/js_sys_module.git
openharmony/kernel_linux_build,5,,https://gitee.com/openharmony/kernel_linux_build.git
openharmony/security_dataclassification,5,,https://gitee.com/openharmony/security_dataclassification.git
openharmony/third_party_boost,5,,https://gitee.com/openharmony/third_party_boost.git
openharmony/third_party_chromium,5,,https://gitee.com/openharmony/third_party_chromium.git
openharmony/third_party_e2fsprogs,5,,https://gitee.com/openharmony/third_party_e2fsprogs.git
openharmony/third_party_eudev,5,,https://gitee.com/openharmony/third_party_eudev.git
openharmony/third_party_expat,5,,https://gitee.com/openharmony/third_party_expat.git
openharmony/third_party_glib,5,,https://gitee.com/openharmony/third_party_glib.git
openharmony/third_party_jsoncpp,5,,https://gitee.com/openharmony/third_party_jsoncpp.git
openharmony/third_party_libphonenumber,5,,https://gitee.com/openharmony/third_party_libphonenumber.git
openharmony/third_party_libuv,5,,https://gitee.com/openharmony/third_party_libuv.git
openharmony/third_party_libxml2,5,,https://gitee.com/openharmony/third_party_libxml2.git
openharmony/third_party_llvm-project,5,,https://gitee.com/openharmony/third_party_llvm-project.git
openharmony/third_party_markupsafe,5,,https://gitee.com/openharmony/third_party_markupsafe.git
openharmony/third_party_mesa3d,5,,https://gitee.com/openharmony/third_party_mesa3d.git
openharmony/third_party_mingw-w64,5,,https://gitee.com/openharmony/third_party_mingw-w64.git
openharmony/third_party_ninja,5,,https://gitee.com/openharmony/third_party_ninja.git
openharmony/third_party_pixman,5,,https://gitee.com/openharmony/third_party_pixman.git
openharmony/third_party_wayland_standard,5,,https://gitee.com/openharmony/third_party_wayland_standard.git
openharmony/useriam_pin_auth,5,,https://gitee.com/openharmony/useriam_pin_auth.git
openharmony/utils_selinux_policy_standard,5,,https://gitee.com/openharmony/utils_selinux_policy_standard.git
openharmony/commonlibrary_ets_utils,4,,https://gitee.com/openharmony/commonlibrary_ets_utils.git
openharmony/device_board_seed,4,,https://gitee.com/openharmony/device_board_seed.git
openharmony/device_soc_st,4,,https://gitee.com/openharmony/device_soc_st.git
openharmony/device_soc_telink,4,,https://gitee.com/openharmony/device_soc_telink.git
openharmony/deviceprofile_device_info_manager,4,,https://gitee.com/openharmony/deviceprofile_device_info_manager.git
openharmony/filemanagement_file_api,4,,https://gitee.com/openharmony/filemanagement_file_api.git
openharmony/hiviewdfx_hitrace,4,,https://gitee.com/openharmony/hiviewdfx_hitrace.git
openharmony/js_util_module,4,,https://gitee.com/openharmony/js_util_module.git
openharmony/kernel_linux_4.19,4,,https://gitee.com/openharmony/kernel_linux_4.19.git
openharmony/sensors_sensor,4,,https://gitee.com/openharmony/sensors_sensor.git
openharmony/third_party_abseil-cpp,4,,https://gitee.com/openharmony/third_party_abseil-cpp.git
openharmony/third_party_boringssl,4,,https://gitee.com/openharmony/third_party_boringssl.git
openharmony/third_party_bzip2,4,,https://gitee.com/openharmony/third_party_bzip2.git
openharmony/third_party_cares,4,,https://gitee.com/openharmony/third_party_cares.git
openharmony/third_party_css-what,4,,https://gitee.com/openharmony/third_party_css-what.git
openharmony/third_party_flatbuffers,4,,https://gitee.com/openharmony/third_party_flatbuffers.git
openharmony/third_party_grpc,4,,https://gitee.com/openharmony/third_party_grpc.git
openharmony/third_party_jinja2,4,,https://gitee.com/openharmony/third_party_jinja2.git
openharmony/third_party_json,4,,https://gitee.com/openharmony/third_party_json.git
openharmony/third_party_libevdev,4,,https://gitee.com/openharmony/third_party_libevdev.git
openharmony/third_party_libffi,4,,https://gitee.com/openharmony/third_party_libffi.git
openharmony/third_party_libinput,4,,https://gitee.com/openharmony/third_party_libinput.git
openharmony/third_party_libusb,4,,https://gitee.com/openharmony/third_party_libusb.git
openharmony/third_party_libxkbcommon,4,,https://gitee.com/openharmony/third_party_libxkbcommon.git
openharmony/third_party_lz4,4,,https://gitee.com/openharmony/third_party_lz4.git
openharmony/third_party_mtdev,4,,https://gitee.com/openharmony/third_party_mtdev.git
openharmony/third_party_protobuf,4,,https://gitee.com/openharmony/third_party_protobuf.git
openharmony/third_party_re2,4,,https://gitee.com/openharmony/third_party_re2.git
openharmony/third_party_xkeyboardconfig,4,,https://gitee.com/openharmony/third_party_xkeyboardconfig.git
openharmony/vendor_bearpi,4,,https://gitee.com/openharmony/vendor_bearpi.git
openharmony/vendor_hihope,4,,https://gitee.com/openharmony/vendor_hihope.git
openharmony/device_board_hisilicon,3,,https://gitee.com/openharmony/device_board_hisilicon.git
openharmony/device_board_isoftstone,3,,https://gitee.com/openharmony/device_board_isoftstone.git
openharmony/device_manager,3,,https://gitee.com/openharmony/device_manager.git
openharmony/drivers_framework,3,,https://gitee.com/openharmony/drivers_framework.git
openharmony/filemanagement_app_file_service,3,,https://gitee.com/openharmony/filemanagement_app_file_service.git
openharmony/frame_aware_sched,3,,https://gitee.com/openharmony/frame_aware_sched.git
openharmony/powermgr_battery_statistics,3,,https://gitee.com/openharmony/powermgr_battery_statistics.git
openharmony/resourceschedule_background_task_mgr,3,,https://gitee.com/openharmony/resourceschedule_background_task_mgr.git
openharmony/telephony_cellular_data,3,,https://gitee.com/openharmony/telephony_cellular_data.git
openharmony/third_party_cef,3,,https://gitee.com/openharmony/third_party_cef.git
openharmony/third_party_gstreamer,3,,https://gitee.com/openharmony/third_party_gstreamer.git
openharmony/third_party_libwebsockets,3,,https://gitee.com/openharmony/third_party_libwebsockets.git
openharmony/third_party_mimalloc,3,,https://gitee.com/openharmony/third_party_mimalloc.git
openharmony/vendor_bestechnic,3,,https://gitee.com/openharmony/vendor_bestechnic.git
openharmony/vendor_ohos,3,,https://gitee.com/openharmony/vendor_ohos.git
openharmony/ability_form_fwk,2,,https://gitee.com/openharmony/ability_form_fwk.git
openharmony/applications_mms,2,,https://gitee.com/openharmony/applications_mms.git
openharmony/applications_theme,2,,https://gitee.com/openharmony/applications_theme.git
openharmony/ark_js_runtime,2,,https://gitee.com/openharmony/ark_js_runtime.git
openharmony/developtools_hiperf,2,,https://gitee.com/openharmony/developtools_hiperf.git
openharmony/device_board_telink,2,,https://gitee.com/openharmony/device_board_telink.git
openharmony/device_soc_goodix,2,,https://gitee.com/openharmony/device_soc_goodix.git
openharmony/distributeddatamgr_pasteboard,2,,https://gitee.com/openharmony/distributeddatamgr_pasteboard.git
openharmony/hiviewdfx_hicollie,2,,https://gitee.com/openharmony/hiviewdfx_hicollie.git
openharmony/hiviewdfx_hidumper,2,,https://gitee.com/openharmony/hiviewdfx_hidumper.git
openharmony/powermgr_battery_lite,2,,https://gitee.com/openharmony/powermgr_battery_lite.git
openharmony/resourceschedule_work_scheduler,2,,https://gitee.com/openharmony/resourceschedule_work_scheduler.git
openharmony/security_crypto_framework,2,,https://gitee.com/openharmony/security_crypto_framework.git
openharmony/third_party_alsa-lib,2,,https://gitee.com/openharmony/third_party_alsa-lib.git
openharmony/third_party_alsa-utils,2,,https://gitee.com/openharmony/third_party_alsa-utils.git
